"domain","name","type","title","title_t","help","help_t"
,,"menu","Project Management","Gestion de projets",,
,,"menu","All Projects","Les Projets",,
,,"menu","All Tasks","Les Tâches",,
,,"menu","My Tasks","Mes Tâches",,
"com.axelor.project.db.Project","name","field",,"Nom",,
"com.axelor.project.db.Project","description","field",,"Description",,
"com.axelor.project.db.Project","notes","field",,"Notes",,
"com.axelor.project.db.Project","priority","field",,"Priorité",,
"com.axelor.project.db.Project","parent","field",,"Parent",,
"com.axelor.project.db.Project","members","field",,"Membres",,
"com.axelor.project.db.Project","tasks","field",,"Tâches",,
"com.axelor.project.db.ProjectTask","name","field","Task Summary","Nom",,
"com.axelor.project.db.ProjectTask","notes","field",,"Notes",,
"com.axelor.project.db.ProjectTask","priority","field",,"Priorité",,
"com.axelor.project.db.ProjectTask","createDate","field",,"Date de création",,
"com.axelor.project.db.ProjectTask","startDate","field",,"Date de début",,
"com.axelor.project.db.ProjectTask","endDate","field",,"Date de fin",,
"com.axelor.project.db.ProjectTask","deadlineDate","field",,"Date limite",,
"com.axelor.project.db.ProjectTask","progress","field",,"Progession",,
"com.axelor.project.db.ProjectTask","project","field",,"Projet",,
"com.axelor.project.db.ProjectTask","user","field",,"Utilisateur",,
"com.axelor.project.db.ProjectTask","workItems","field",,"Lignes",,
"com.axelor.project.db.ProjectWork","name","field",,"Nom",,
"com.axelor.project.db.ProjectWork","date","field",,"Date",,
"com.axelor.project.db.ProjectWork","hours","field","Time Spent","Heures",,
"com.axelor.project.db.ProjectWork","task","field",,"Tâche",,
"com.axelor.project.db.ProjectWork","user","field",,"Utilisateur",,
"com.axelor.project.db.Project",,"view","Project","Projet",,
"com.axelor.project.db.Project",,"page","Tasks","Tâches",,
"com.axelor.project.db.Project",,"page","Notes","Notes",,
"com.axelor.project.db.Project",,"view","Projects","Les Projets",,
"com.axelor.project.db.ProjectTask",,"view","Project Tasks","Les Tâches de projet",,
"com.axelor.project.db.ProjectTask",,"view","My Tasks","Mes Tâches",,
"com.axelor.project.db.ProjectTask",,"view","Project Task","Tâche",,
"com.axelor.project.db.ProjectTask",,"page","Work Items","Lignes",,
"com.axelor.project.db.ProjectWork",,"view","Work Item","Ligne",,
"com.axelor.project.db.ProjectWork",,"view","Work Item","Ligne",,
"com.axelor.project.db.ProjectTask",,"page","Notes","Notes",,
"com.axelor.project.db.ProjectTask",,"view","Project Tasks","Les Tâches de projet",,
"com.axelor.project.db.ProjectTask",,"view","Project Tasks","Les Tâches de projet",,
"com.axelor.project.db.ProjectWork",,"view","Project Work","Les Travaux du Projet",,
"com.axelor.project.db.ProjectWork",,"view","Project Work","Les Travaux du Projet",,
,,"action","Projects","Les Projets",,
,,"action","All Tasks","Les Tâches",,
,,"action","My Tasks","Mes Tâches",,
,"name","documentation",,,,
,"date","documentation",,,,
,"hours","documentation",,,,
"project-form","name","documentation",,,,
"project-form","priority","documentation",,,,
"project-form","description","documentation",,,,
"project-form","parent","documentation",,,,
"project-form","members","documentation",,,,
"project-form","tasks","documentation",,,,
"project-form","notes","documentation",,,,
"project-task-form","name","documentation",,,,
"project-task-form","priority","documentation",,,,
"project-task-form","createDate","documentation",,,,
"project-task-form","deadlineDate","documentation",,,,
"project-task-form","startDate","documentation",,,,
"project-task-form","endDate","documentation",,,,
"project-task-form","user","documentation",,,,
"project-task-form","project","documentation",,,,
"project-task-form","progress","documentation",,,,
"project-task-form","workItems","documentation",,,,
"project-task-form","notes","documentation",,,,
