"key","message","comment","context"
"All Projects","Les Projets",,
"All Tasks","Les Tâches",,
"All Tasks (tree)","Les Tâches (Arbre)",,
"Completed","Complété",,
"Create date","Date de création",,
"Date","Date",,
"Deadline date","Date limite",,
"Default project updated.","Projet par défaut mis à jour.",,
"Description","Description",,
"End date","Date de fin",,
"Gantt","Gantt",,
"In progress","En cours",,
"Linked project tasks","Tâches de projet liées",,
"Members","Membres",,
"My Tasks","Mes Tâches",,
"My projects","Mes projets",,
"Name","Nom",,
"Notes","Notes",,
"Overview","Général",,
"Parent","Parent",,
"Parent task","Tâche parente",,
"Pending tasks","Tâches en attente",,
"Planned duration","Durée prévue",,
"Planned progress","Avancement prévu",,
"Planned start date","Date de début prévue",,
"Planning","Planification",,
"Priority","Priorité",,
"Progress","Progession",,
"Project","Projet",,
"Project Management","Gestion de projets",,
"Project Task","Tâche",,
"Project Tasks","Les Tâches de projet",,
"Project Work","Les Travaux du Projet",,
"Projects","Les Projets",,
"Sequence",,,
"Start date","Date de début",,
"State","État",,
"Task","Tâche",,
"Task Summary","Résumé de la tâche",,
"Task planning","Planification des tâches",,
"Tasks","Tâches",,
"Tasks to finish before finish","Tâches à terminer avant de finir",,
"Tasks to finish before start","Tâches à terminer avant de commencer",,
"Tasks to start before finish","Tâches à commencer avant de finir",,
"Tasks to start before start","Tâches à commencer avant de commencer",,
"Time Spent","Heures",,
"Title","Titre",,
"To-do","A faire",,
"Today","Aujourd'hui",,
"User","Utilisateur",,
"Work items","Lignes",,
