"key","message","comment","context"
"All Projects","Les Projets",,
"All Tasks","Les Tâches",,
"All Tasks (tree)","Les Tâches (Arbre)",,
"Completed",,,
"Create date","Date de création",,
"Date","Date",,
"Deadline date","Date limite",,
"Description","Description",,
"End date","Date de fin",,
"In progress",,,
"Linked project tasks",,,
"Members","Membres",,
"My Tasks","Mes Tâches",,
"Name","Nom",,
"Notes","Notes",,
"Overview","Général",,
"Parent","Parent",,
"Parent task",,,
"Planned duration",,,
"Planned progress",,,
"Planned start date",,,
"Planning",,,
"Priority","Priorité",,
"Progress","Progession",,
"Project","Projet",,
"Project Management","Gestion de projets",,
"Project Task","Tâche",,
"Project Tasks","Les Tâches de projet",,
"Project Work","Les Travaux du Projet",,
"Projects","Les Projets",,
"Sequence",,,
"Start date","Date de début",,
"State",,,
"Task","Tâche",,
"Task Planning",,,
"Task Summary","Nom",,
"Task planning",,,
"Tasks","Tâches",,
"Tasks to finish before finish",,,
"Tasks to finish before start",,,
"Tasks to start before finish",,,
"Tasks to start before start",,,
"Time Spent","Heures",,
"To-do",,,
"User","Utilisateur",,
"Work items","Lignes",,
